BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,HAU,,R2776,R2776B,3/07/2024,PE1172,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),374,133560,133560,7420,0,0,0,0,133560,48960,9142200
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,B,R2929,R2929B,12/06/2024,PE1156,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),22,7920,7920,440,0,0,0,0,7920,0,0
Pre-sized,Rockit Trading Company Ltd,Pioneer,C1,R1580,R1580C,5/09/2024,PE1226,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),9,3240,3240,180,0,0,0,0,3240,2160,421200
Pre-sized,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,2/06/2024,PE1146,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),20,7200,7200,400,0,0,0,0,7200,3600,702000
Pre-sized,Rockit Trading Company Ltd,Wharerangi,A1,R1936,R1936A,4/05/2024,PE1123,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),44,15840,15840,880,0,0,0,0,15840,7560,1474200
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,11/06/2024,PE1150,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),40,14400,14400,800,0,0,0,0,14400,0,0
Orchard pick,Rockit Trading Company Ltd,Korokipo Verries,KVR1,R2872,R2872B,5/09/2024,P1454,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),29,11971.904,9690.264,538.348,0,0,2281.64,126.7577765,9690.264,670.788,80494.56
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,12/04/2024,PE1094,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),23,8280,8280,460,0,0,0,0,8280,0,0
Pre-sized,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021A,27/08/2024,PE1224,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),34,12240,12240,680,0,0,0,0,12240,0,0
Orchard pick,Rockit Trading Company Ltd,Steel,B,R1149,R1149B,5/09/2024,P1453,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),15,6212.688,4796.208,266.456,0,0,1416.48,78.69333255,4796.208,563.004,93812.58
