BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Longacre Orchard,B1,R2219,R2219B,12/06/2024,P1288,Final report sent,Smartfresh Air,15,6797.312,5972.112,331.784,0,0,825.2,45.84444399,5972.112,108.684,13042.08
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919G,15/10/2024,P1581,Final report sent,Smartfresh CA,108,45765.08,38654.52,2147.473331,0,0,7110.56,395.0311072,38654.52,17108.016,2963473.26
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR7,R2851,R2851M,10/04/2024,P1142,Final report sent,Smartfresh Air,59,26221.654,23982.414,1332.355264,0,0,2239.24,124.402221,23982.414,927.99,111358.8
Pre-sized,Rockit Trading Company Ltd,Knight Road Horticulture,A,R2958,R2958D,7/08/2024,PE1186,Final report sent,Smartfresh Air,33,11880,11880,660,0,0,0,0,11880,720,86400
Orchard pick,Rockit Trading Company Ltd,HAU,A1,R2776,R2776A,10/10/2024,P1565,Final report sent,Smartfresh CA,41,16903.36,14880.16,826.6755548,0,0,2023.2,112.3999989,14880.16,6507.928,1187475.64
Orchard pick,Rockit Trading Company Ltd,Parkhill Orchard,PHRK,R2841,R2841A,12/10/2024,P1568,Final report sent,Smartfresh CA,26,11361.276,9355.476,519.7486662,0,0,2005.8,111.4333322,9355.476,3961.524,711262.56
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,24/06/2024,PE1162,Final report sent,Smartfresh Air,65,23400,23400,1300,0,0,0,0,23400,10440,1873800
Orchard pick,Rockit Trading Company Ltd,Home Block,A,R1230,R1230A,16/09/2024,P1482,Final report sent,Smartfresh CA,28,11468.188,8365.788,464.766,0,0,3102.4,172.3555538,8365.788,0,0
Pre-sized,Rockit Trading Company Ltd,Rangi2,C,R2901,R2901C,26/08/2024,PE1217,Final report sent,Smartfresh Air,4,1440,1440,80,0,0,0,0,1440,0,0
Pre-sized,Rockit Trading Company Ltd,Lowry Heretaunga,C1,R2946,R2946C,4/10/2024,PE1307,Final report sent,Smartfresh CA,62,22320,22320,1240,0,0,0,0,22320,7920,1490400
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR3,R2873,R2873C,14/09/2024,PE1256,Final report sent,Smartfresh CA,119,42840,42840,2380,0,0,0,0,42840,0,0
Orchard pick,Rockit Trading Company Ltd,Springhill East,36,R2949,R2949S,23/07/2024,P1378,Final report sent,Smartfresh Air,105,44993.184,40631.184,2257.288,0,0,4362,242.3333309,40631.184,337.644,40517.28
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,26/08/2024,PE1208,Final report sent,Smartfresh CA,55,19800,19800,1100,0,0,0,0,19800,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,F1,R2880,R2880F,12/09/2024,P1471,Final report sent,Smartfresh CA,40,16567.068,11574.468,643.026,0,0,4992.6,277.3666639,11574.468,350.28,42033.6
Orchard pick,Rockit Trading Company Ltd,Sunvalley Orchard,NORTH,R2732,R2732A,25/07/2024,P1383,Final report sent,Smartfresh Air,241,103222.344,89399.664,4966.648,0,0,13822.68,767.926659,89399.664,5737.752,688530.24
Orchard pick,Rockit Trading Company Ltd,Steel,C,R1149,R1149C,23/08/2024,P1423,Final report sent,Smartfresh CA,17,7584.88,5581.8,310.1,0,0,2003.08,111.2822211,5581.8,237.204,28464.48
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,B3,R2879,R2879B,5/09/2024,PE1227,Final report sent,Smartfresh Air,15,5400,5400,300,0,0,0,0,5400,3240,604800
Pre-sized,Rockit Trading Company Ltd,HAU,,R2776,R2776B,9/09/2024,PE1244,Final report sent,Smartfresh Air,4,1440,1440,80,0,0,0,0,1440,0,0
Orchard pick,Rockit Trading Company Ltd,Raukawa,B1,R1232,R1232B,14/10/2024,P1576,Final report sent,Smartfresh CA,62,26468.72,22400.68,1244.482221,0,0,4068.04,226.00222,22400.68,10322.104,1779518.98
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919F,10/10/2024,PE1309,Final report sent,Smartfresh CA,109,39240,39240,2180,0,0,0,0,39240,14760,2635200
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329D,25/09/2024,PE1280,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,HAU,,R2776,R2776A,13/05/2024,P1221,Final report sent,Smartfresh Air,159,67887.672,58854.672,3269.704,0,0,9033,501.8333283,58854.672,22230.936,4241504.52
